1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
Coenzyme Q10,"Ubiquinone, CoQ1, Vitamin Q1, Coenzyme Q, Q1, Ubiquinone-1",Ubiquinone,Active,Low Risk,Single,0,Low Risk,"Active, Antioxidant",Antioxidant. Anti-aging benefits,0,0.2,1,0.2,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,0.2,,0.2,,1,Coenzyme Q1 is an antioxidant that helps to protect the skin from environmental stressors while providing moisture and improving skin texture. It’s effective in treating dryness and keeping the skin hydrated and healthy.,0.2,,1,"Coenzyme Q1 is an antioxidant that helps to protect the skin from free radical damage and promote collagen production, reducing the appearance of fine lines and wrinkles. It also helps to improve skin elasticity and tone, making the skin look firmer and more youthful.",1,"An antioxidant that protects the skin from free radical damage while promoting collagen production, improving elasticity and firmness, and preventing sagging.",0.2,"Coenzyme Q1 is an antioxidant that helps protect the skin from free radical damage and improve texture. It smooths uneven skin and reduces the appearance of pores, contributing to a more refined complexion.",0.2,,0.2,"Coenzyme Q1 is an antioxidant that helps to protect the skin from free radical damage, which can contribute to a dull complexion. It energizes the skin cells, promoting a brighter and more youthful appearance.",0.2,,0.2,"Coenzyme Q1 is an antioxidant that helps protect the skin from environmental damage and reduce inflammation associated with blemishes. It promotes healing and skin regeneration, helping fade blemish scars.",0,0,0,0,0,0,0,0,0,0.2,0.2,1,0,0,0,0.2,0.2,0,0.2,1,1,0,0,0,0,0,0,1,1,0,0.1 - 1%,No
Blueberry Oil,"Vaccinium Corymbosum Seed Oil, Blueberry Seed Oil, Blueberry Fruit Oil, Blueberry Kernel Oil",Vaccinium Angustifolium (Blueberry) Seed Oil,Active,Low Risk,Single,0.2,Low Risk,"Emollient, Antioxidant","Antioxidant, Skin barrier protection, Soothing",0,1,1,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0.2,,0.2,,0.2,,1,"Blueberry Oil is rich in antioxidants and fatty acids, providing deep hydration and nourishment to the skin. It’s effective in treating dryness and improving skin texture, leaving the skin soft and smooth.",0.2,,0.2,"Blueberry oil is rich in antioxidants and essential fatty acids that help to protect the skin from environmental damage and reduce the appearance of fine lines and wrinkles. It also helps to improve skin elasticity and smoothness, making the skin look firmer and more youthful.",0.2,,0.2,,0,,0.2,,0.2,,0,,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0.2,0.2,0,0.2,1,0.2,0,0,0,0,0,0,0.2,1,0,1 - 5%,Yes
Cranberry Seed Oil,"Vaccinium Macrocarpon Seed Oil, Cranberry Oil, Cranberry Fruit Oil, Cranberry Seed Oil, Cranberry Extract Oil",Vaccinium Macrocarpon (Cranberry) Seed Oil,Active,Low Risk,Single,0,Low Risk,"Emollient, Antioxidant","Antioxidant, Skin barrier protection, Moisturizing",1,1,1,1,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,"Cranberry Seed Oil is rich in antioxidants and essential fatty acids, offering anti-inflammatory and soothing benefits. It helps protect the skin and reduce redness, making it suitable for rosacea-prone skin.",0.2,Azelaic acid is effective in treating hyperpigmentation by inhibiting melanin production and reducing inflammation. It’s particularly beneficial for post-inflammatory hyperpigmentation and helps to even out skin tone.,0.2,,1,"Cranberry Seed Oil is rich in essential fatty acids and antioxidants, providing lightweight hydration that helps to treat dryness and protect the skin from environmental stressors. It’s effective in keeping the skin soft and hydrated.",0.2,"Cranberry seed oil is lightweight and helps to balance sebum production while providing hydration. It’s effective in managing oily skin without clogging pores, reducing shine and keeping the skin clear.",0.2,"Cranberry seed oil is rich in essential fatty acids and antioxidants that help to nourish and protect the skin, reducing the appearance of fine lines and wrinkles. It also helps to improve skin elasticity and smoothness, promoting a more youthful appearance.",0.2,,0.2,,0,,0.2,,0.2,,0,,1,1,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0.2,0.2,0,0.2,0,0.2,0,0,0,0,0,0,0.2,0,0,1 - 10%,Moderately effective
Vanilla Planifolia Fruit Extract,"Vanilla Extract, Vanilla Planifolia Extract, Vanilla Fruit Extract, Vanilla Bean Extract",Vanilla Planifolia Fruit Extract,Active,Moderate Risk,Single,0,Low Risk,"Fragrance, Active",Antibacterial. Anti-inflammatory. Generally non-irritating,1,0.2,0.2,0,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0,,-1,,0,,0.2,,0,,0,,0,,0,,0.2,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.5 - 2%,
Vetiver Essential Oil,"Vetiveria Zizanoides Root Oil, Vetiver Oil, Vetiver Essential Oil",Vetiveria Zizanoides Root Oil,Active,Moderate Risk,Single,0,Moderate Risk,"Fragrance, Active",Known for its grounding and healing properties. Natural fragrance. Low risk of irritation,0,0.2,0.2,-0.2,0.2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,-1,,0.2,,0,,0.2,,-0.2,,0.2,,0.2,,0,,0.2,,0,,-1,,0.2,,0,0,0,0,0.2,0.2,0,0,0,0,0.2,0.2,0,0,0,0,0.2,1,0,1,0.2,0,0,0,0,0,0,0.2,0,0,0.1 - 1%,
Grape seed oil,"Vitis Vinifera Oil, Grapeseed Oil, Grape Oil, Grapeseed Oil (Vitis Vinifera Seed Oil), Grape Seed Oil",Vitis Vinifera (Grape) Seed Oil,Active,Low Risk,Single,0,Low Risk,"Emollient, Antioxidant","Skin barrier protection, Antioxidant, Moisturizing",1,1,-1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,"Grape Seed Oil is lightweight and rich in antioxidants, providing soothing and anti-inflammatory benefits. It helps reduce redness and irritation, making it beneficial for rosacea-prone skin.",0.2,,0.2,,-1,,0.2,"Grape seed oil is lightweight and rich in antioxidants, helping to balance oil production while providing hydration. It’s effective in managing oily skin by reducing shine and preventing clogged pores.",0.2,,0.2,,0.2,"Grape seed oil is lightweight and rich in antioxidants, helping smooth uneven skin texture and refine pores. It balances oil production and keeps the skin looking clear and refined.",0,,0.2,,0.2,,0,,1,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0.2,0.2,0,0.2,0,0.2,0,1,0,0,0,0,0.2,1,0,1 - 5%,
Organic Cold Pressed Unrefined Grapeseed Oil,"Organic Vitis Vinifera Oil, Organic Grape Seed Oil, Grape Oil, Organic Grapeseed Oil, Unrefined Grapeseed Oil",Vitis Vinifera (Grape) Seed Oil,Active,Low Risk,Single,0,Low Risk,"Emollient, Antioxidant","Skin barrier protection, Antioxidant, Moisturizing",1,1,-1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,"Similar to regular grape seed oil, this organic version helps soothe and protect rosacea-prone skin. It offers lightweight hydration and helps reduce redness and inflammation.",0.2,,0.2,,-1,,0.2,"Similar to regular grape seed oil but with added purity, this oil helps balance sebum production and hydrate the skin without clogging pores. It’s effective in managing oily skin by reducing shine and maintaining skin clarity.",0.2,,0.2,,0.2,"Grape seed oil is lightweight and rich in antioxidants, helping smooth uneven skin texture and refine pores. It balances oil production and keeps the skin looking clear and refined.",0,,0.2,,0.2,,0,,1,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0.2,0.2,0,0.2,0,0.2,0,0,0,0,0,0,0.2,0,0,1 - 5%,
Organic Grape Seed Oil,"Organic Vitis Vinifera Oil, Organic Grape Seed Oil, Organic Grape Oil, Organic Grapeseed Oil",Vitis Vinifera (Grape) Seed Oil,Active,Low Risk,Single,0,Low Risk,"Emollient, Antioxidant","Skin barrier protection, Antioxidant, Moisturizing",1,1,-1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,"Similar to the unrefined version, organic grape seed oil helps balance hydration and reduce redness in rosacea-prone skin. It is gentle and well-suited for sensitive skin.",0.2,,0.2,,-1,,0.2,"Similar to other forms of grape seed oil, this version helps to balance oil and moisture levels in oily skin. It has a low allergenic potential and is generally well-tolerated by sensitive skin, effectively managing excess shine and oiliness.",0.2,,0.2,,0.2,"Grape seed oil is lightweight and rich in antioxidants, helping smooth uneven skin texture and refine pores. It balances oil production and keeps the skin looking clear and refined.",0,,0.2,,0.2,,0,,1,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0.2,0.2,0,0.2,0,0.2,0,1,0,0,0,0,0.2,1,0,1 - 5%,
Deionized Water,"Water, Purified Water, Distilled Water, Deionized Water (Aqua), Water (Aqua), H2O, Water/Aqua/Eau, Aqua (Water), Aqua / Water, Water (Aqua / Eau), Water / Aqua / Eau, Water/Eau, Aqua / Water, Aqua/Water/Eau, Water/Eau/Aqua, Aqua (Water/Eau), Aqua (Purified Water)",Water (Aqua),Inactive,Low Risk,Single,0,Low Risk,Solvent,"Pure water, often used as a base in formulations. It has no irritation potential.",0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60 - 90%,
Xanthan Gum,"Corn Sugar Gum, Polysaccharide Gum, Xanthan, Xanthan Gum, Xanthan Gum (Xanthan Gum)",Xanthan Gum,Inactive,Low Risk,Single,0,Low Risk,"Thickener, Stabilizer",Natural thickener. Low risk of irritation,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,,0.2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5 - 2%,
Corn Starch Modified,"Modified Corn Starch, Starch Ether, Starch Ester, Zea Mays Starch, Maize Starch",Zea Mays (Corn) Starch,Inactive,Low Risk,Single,0,Moderate Risk,"Thickener, Texture Enhancer",Risk of irritation for sensitive skin,0,0,-0.2,0.2,0.2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,,-1,,0,,-0.2,,0.2,,0,,0,,0,,0,,0,,-1,,-0.2,,0,0,0,0,0,0,0,0,0.2,0,-0.2,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1 - 5%,
Zinc Gluconate,"Zinc(II) Gluconate, Zinc Salt, Zinc D-gluconate, Zinc Gluconate",Zinc Gluconate,Active,Low Risk,Compound,"Zinc Salt, Gluconic Acid",Low Risk,Active,"Antibacterial, anti-inflamatory. A well-known and effective ingredient for acne treatment, often found in both topical and oral acne treatments.",0,0.2,0.2,1,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,0,,1,Zinc gluconate has anti-inflammatory properties that help reduce redness and irritation associated with acne. It also helps to regulate sebum production and prevent the formation of new breakouts.,0.2,,1,"Zinc gluconate has anti-inflammatory properties that help reduce redness and irritation associated with acne. It also helps to regulate sebum production and prevent the formation of new breakouts, making it effective in managing oily skin.",0.2,,0.2,,1,"Zinc gluconate helps reduce oil production, which can minimize the appearance of pores and smooth uneven skin texture. It also has anti-inflammatory properties that help refine the complexion.",0.2,"Zinc gluconate regulates sebum production and has antibacterial properties, preventing clogged pores and blackheads while reducing inflammation.",0.2,,0.2,,0.2,,0,0,0,0,0,0,0,0,0,1,0.2,0.2,0,0,0,0.2,0,1,1,0,0.2,0,0,0,0,0,0,0.2,0,0,1 - 5%,Yes
Non nano Zinc Oxide,"Zinc white, Calamine, Philosophers wool, Zinc Oxide Non-Nano, ZnO, Zinc Oxide 12%",Zinc Oxide,Active,Low Risk,Single,0,Low Risk,"Active, Sunscreen","A physical sunscreen ingredient that’s non-irritating, safe for sensitive skin, and often used in mineral sunscreens.",0,1,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,1,"Non-nano zinc oxide is a mineral sunscreen that protects the skin from UV damage, preventing further hyperpigmentation. While it doesn’t lighten existing dark spots, it is crucial in preventing them from worsening.",0,,1,"Non-Nano Zinc Oxide is primarily used for sun protection, but it also has soothing properties that can help to prevent dehydration by protecting the skin barrier. While it doesn’t directly hydrate, it helps maintain moisture by shielding the skin from environmental factors.",0.2,,0.2,,0.2,,0.2,,0,,0.2,"Non-nano zinc oxide provides broad-spectrum sun protection, which is essential for preventing the sun damage that can lead to a dull complexion. It helps to maintain skin brightness by protecting against UV-induced pigmentation.",0,,0.2,,0,0,0,0,0.2,0.2,1,0,0,0,0.2,0.2,0,0,0,0.2,1,0,0.2,0,0.2,0,0,1,0,0,0,0.2,0,1,1 - 20%,Moderately effective
Ginger Root Essential Oil,"Zingiber officinale root oil, Ginger oil, Ginger essential oil, Ginger Root Oil",Zingiber Officinale (Ginger) Root Oil,Active,Moderate Risk,Single,0,Moderate Risk,"Fragrance, Active",Has anti-inflammatory and antimicrobial properties. Natural fragrance. Low risk of irritation,1,0.2,-0.2,0,0.2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,-1,,0.2,,0,,-0.2,,0,,0.2,"Ginger root essential oil has antioxidant and anti-inflammatory properties that help to protect the skin from environmental damage and reduce the appearance of fine lines and wrinkles. It also helps to improve skin tone and elasticity, promoting a smoother, more youthful complexion.",0.2,"Has antioxidant and anti-inflammatory properties that protect the skin from environmental damage and improve elasticity, supporting a firmer, more youthful complexion.",0.2,,0.2,,0,,-1,,0.2,,0,0,0,0,0.2,0,0,0,0,0,0.2,0.2,0,0,0,0,0.2,1,0.2,0,0.2,0,0,0,0,0,0,0.2,0,0,0.1 - 1%,
Tartaric Acid,"2,3-dihydroxybutanedioic acid",Tartaric Acid,Active,Low risk,,,High,"Exfoliant, pH Adjuster",,0,0.2,0,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-0.2,,1,"Tartaric Acid: An alpha hydroxy acid (AHA) that exfoliates the skin’s surface, promoting cell turnover and reducing the appearance of dark spots and uneven skin tone.",0.2,,0,,1,"Tartaric acid is an alpha hydroxy acid (AHA) that acts as a gentle exfoliator, helping to remove dead skin cells and improve skin texture. It regulates sebum production, tightens pores, and reduces shine by preventing clogged pores and breakouts. Its antioxidant properties also help protect the skin from environmental damage, contributing to a more balanced complexion. Additionally, it enhances the absorption of other skincare products, boosting their effectiveness. ",1,"Tartaric acid is an alpha hydroxy acid (AHA) known for its exfoliating properties. It helps remove dead skin cells, promoting a smoother skin texture and reducing the appearance of fine lines and wrinkles. Additionally, it stimulates collagen production, which is essential for maintaining skin structure and reducing signs of aging.",1,"By promoting collagen synthesis and improving skin texture, tartaric acid can enhance skin elasticity and firmness. Its moisturizing properties also help maintain hydration, which is crucial for skin resilience.",1,"An alpha-hydroxy acid (AHA) that provides gentle exfoliation, helping to unclog pores and improve skin texture. It promotes cell turnover, reduces the appearance of enlarged pores, and helps smooth uneven skin texture.",1,"Tartaric acid is an alpha-hydroxy acid (AHA) that exfoliates the skin by loosening dead skin cells, which helps prevent clogged pores and reduces the occurrence of blackheads. Its antimicrobial properties also combat acne-causing bacteria, making it effective for acne treatment.",1,"As an alpha-hydroxy acid (AHA), tartaric acid helps exfoliate the skin, promoting cell turnover and removing dead skin cells that can contribute to dullness. Its ability to enhance skin texture and radiance makes it beneficial for improving overall skin appearance.",0,,0.2,,0,0,0,1,0,0,0,0,0,0.2,0.2,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0.5 - 2%,Moderately effective
Potassium Hydroxide,Caustic Potash,Potassium Hydroxide,Active,Low risk,,,High,pH Adjuster,,0,0,-1,0.2,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-0.2,,0,,-0.2,,-1,,0,,0,,0,,0,,-0.2,,-1,,-1,,-0.2,,0,0,0,0,0,0,0,0,0,-0.2,-0.2,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1 - 1%,
Borax (Sodium Borate),"Sodium Tetraborate, Disodium Tetraborate",Sodium Borate,Inactive,Moderate risk,,,High,"pH Adjuster, Preservative",,0,0,-1,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-1,,-0.2,,-1,,-1,,0,,-0.2,,-0.2,,-0.2,,0,,-0.2,,0,,-0.2,,0,0,0,0,0,0,0,0,0,-1,-0.2,-0.2,0,0,0,-0.2,-0.2,1,-0.2,0,-0.2,0,0,0,0,0,0,-0.2,0,0,0.1 - 1%,
Acetic Acid (Vinegar),"Ethanoic Acid, Acetic Acid",Acetic Acid,Active,Low risk,,,Moderate,"pH Adjuster, Preservative",,0,0.2,-0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-0.2,,0,,0.2,,-0.2,,0,,0,,0,,0.2,,0.2,,0.2,,0,,0,,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.5 - 2%,
Ammonium Hydroxide,"Ammonia Solution, Ammonium Hydroxide",Ammonium Hydroxide,Active,Moderate risk,,,High,pH Adjuster,,0,0,-0.2,-0.2,-0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-0.2,,0,,-0.2,,-0.2,,-1,,0,,0,,0,,0,,-1,,-1,,-0.2,,0,0,0,0,0,0,0,0,0,-0.2,-0.2,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1 - 1%,
Triethanolamine (TEA),"Triethanolamine, TEA",Triethanolamine,Active,Moderate risk,,,Moderate,"pH Adjuster, Emulsifier",,1,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-0.2,,-0.2,,-0.2,,0,,0,,0,,0,,0,,0,,-0.2,,-1,,-0.2,,0,0,0,0,0,0,0,0,0,-0.2,-0.2,0,0,0,0,-0.2,-0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1 - 1%,
Sodium Alginate,Alginic Acid Sodium Salt,Sodium Alginate,Inactive,Low risk,,,Low,Thickener,,0,0.2,0.2,0,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,,0,,0.2,,0,,0,,0,,-0.2,,-1,,0.2,,0.2,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,-0.2,0,0,0,0,0,0,0,0,0,0,0,0.5 - 2%,
Citrullus Lanatus (Watermelon) Fruit Extract,Watermelon Extract,Citrullus Lanatus Fruit Extract,Active,Low risk,,,Low,"Emollient, Humectant",,0,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,0.2,,0.2,,0,,0,,0,,0.2,,0.2,,0.2,,0,,0,,0.2,,0.2,,0,1,0,0,0.2,0.2,0,0,0,0,0.2,0.2,0,0,0,0,0.2,0,0.2,0,0.2,0,0,0,0,0,0,0.2,1,0,0.5 - 2%,
Ethyl Olivate,Ethyl Olive Oil,Ethyl Olivate,Active,Low risk,,,Low,Emollient,,2,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,"Ethyl Olivate provides moisturizing and anti-inflammatory benefits, helping to soothe rosacea-prone skin and improve its texture.",0,,0,,0.2,,0.2,,0.2,,0.2,,0,,0,,0.2,,0.2,,0,,1,0.2,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0.5 - 2%,
Paeonia Suffruticosa Root Extract,Tree Peony Extract,Paeonia Suffruticosa Root Extract,Active,Low risk,,,Low,Active - Antioxidant,,0,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,1,"This extract has antioxidant and anti-inflammatory properties, helping to protect the skin from environmental damage and free radicals. It can reduce hyperpigmentation and improve skin tone and texture, effectively addressing dullness and promoting a more radiant complexion.",0.2,,0.2,,0,0,0,0,1,1,0,0,0,0.2,0.2,0.2,0,0,0,1,0.2,1,0.2,0,0.2,0,0,0,0,0,0,0.2,0,0,0.5 - 5%,Moderately effective
Jasminum Grandiflorum (Jasmine) Flower Wax,"Jasmine Wax, Jasminum Grandiflorum Extract",Jasminum Grandiflorum (Jasmine) Flower Wax,Active,Moderate risk,,,Low,"Emollient, Fragrance",,2,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0.2,"Jasminum Grandiflorum (Jasmine) Flower Wax isk nown for its calming and soothing properties, it helps reduce redness and inflammation associated with rosacea.",0,,0,,0.2,,0,,0,,0,,-0.2,,-0.2,,0.2,,0.2,,0,,0.2,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2,0,0,-0.2,0,0,0,0,0,0,0,0,0,0,0,0.1 - 1%,
Apricot Kernel Amino Acids,Apricot Kernel Extract Amino Acids,Apricot Kernel Amino Acids,Active,Low risk,,,Low,"Active - Antioxidant, Emollient",,2,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0,,0.2,,0.2,,0.2,,0.2,,0.2,,0,0.2,0.2,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0.5 - 2%,
Alkanna Tinctoria Root Extract,Alkanet Root Extract,Alkanna Tinctoria Root Extract,Active,Moderate risk,,,Low,"Active - Antioxidant, Colorant",,0,0.2,0,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0,0,0,0,1,1,0,0,0,0.2,0.2,0.2,0,0,0,0.2,0.2,0,0.2,0,0.2,0,0,0,0,0,0,0.2,0,0,0.1 - 1%,
Beta-Glucan,"Beta-D-Glucan, Beta-D-Glucan",Beta-Glucan,Active,Low risk,,,Low,"Active - Antioxidant, Humectant",,0,0.2,0.2,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,"Beta-Glucan reduces inflammation and calms redness, strengthens the skin barrier, and provides hydration, which helps alleviate rosacea symptoms and prevents flare-ups.",0.2,"
Beta-glucan soothes inflammation and supports skin repair, which helps reduce post-inflammatory hyperpigmentation and promotes a more even skin tone.",0.2,,1,"Acts as an effective humectant, helping to retain moisture in the skin.",0.2,,1,Beta-glucan is a polysaccharide that has strong moisturizing and soothing properties. It helps improve skin hydration and can reduce the appearance of fine lines by plumping the skin.,1,"By enhancing skin hydration and supporting the skin barrier, beta-glucan can help maintain elasticity and firmness. Its antioxidant properties also protect against environmental stressors that can accelerate aging.",0.2,,0.2,,0.2,,0.2,,0.2,,0.2,0,0,0,1,1,0,0,0,0.2,0.2,1,0,0,0,0.2,0.2,1,0.2,0,1,0,0,0,0,0,0,1,0,0,0.5 - 2%,Yes
