,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingredient name,Aliases,INCI Name,Active/Inactive,Allergen Potential,Single/Compound,Components,Risk of irritation,Role in formulation,Note,Comedogenic Rating,Normal,Dry,Oily,Combination,Not sensitive,A little sensitive,Moderately sensitive,Sensitive,Very sensitive,Extremely sensitive,Not acne prone,A little acne-prone,Moderately acne-prone,Acne-prone,Very acne-prone,Extremely acne-prone,Teen,20s,30s,40s,50s,60+,Vegetarian,Vegan,Gluten-free,Paleo,Nut-free,Soy-free,Latex-free,Sesame-free,Citrus-free,Dye-free,Fragrance-free,Scent-free,Rosacea,Description,Hyperpigmentation & Uneven skin tone,Description,Acne,Description,Dryness/Dehydration,Description,Oiliness & Shine,Description,Fine lines & Wrinkles,Description,Loss of Elasticity/firmness,Description,Visible pores & Uneven texture,Description,"Clogged pores, blackheads",Description,Dullness,Description,Dark circles,Description,Blemishes,Description
Limnanthes Alba (Meadowfoam) Seed Oil,"Meadowfoam Oil, Limnanthes Alba Oil, Meadowfoam Seed Oil, Limnanthes Alba Seed Oil",Limnanthes Alba (Meadowfoam) Seed Oil,Active,Low Risk,Single,0,Low Risk,"Emollient, Texture Enhancer","Skin barrier protection, Moisturizing, Antioxidant",1,1,1,1,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0.2,,0,Magnesium Ascorbyl Phosphate is a stable form of Vitamin C that helps brighten the skin and reduce the appearance of hyperpigmentation by inhibiting melanin production. It’s gentle and effective for treating dark spots and promoting an even skin tone.,0,,1,"Meadowfoam Seed Oil is rich in fatty acids and provides long-lasting hydration to the skin. It helps to lock in moisture and prevent dehydration, making it effective in treating dry skin.",0.2,"Meadowfoam seed oil helps balance sebum production and provides lightweight hydration, making it suitable for oily skin. It helps keep the skin clear and free of excess shine.",0.2,,0.2,,0.2,"Meadowfoam seed oil helps balance oil production and provides lightweight hydration, which smooths uneven texture and reduces the appearance of pores.",0,,0.2,,0.2,,0,
Limonene,"Limonene, D-Limonene, (R)-4-Isopropenyl-1-methylcyclohexene",Limonene,Active,High Risk,Single,0,High Risk,Fragrance,Can be irritating for sensitive skin,1,0,-1,-1,-1,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,
Linalool,"Linalool, 3,7-Dimethylocta-1,6-dien-3-ol, 2,6-Dimethyl-2,7-octadien-6-ol",Linalool,Active,High Risk,Single,0,High Risk,Fragrance,Can be irritating for sensitive skin,0,0,-1,-1,-1,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,
Linum Usitatissimum (Linseed) Seed Extract,"Flaxseed extract, Flax extract, Linseed Extract, Linum Usitatissimum Seed Extract",Linum Usitatissimum (Linseed) Seed Extract,Active,Low Risk,Single,0,Low Risk,"Active, Antioxidant",Antioxidant,0,0.2,0.2,-0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0.2,,0.2,,0.2,,0.2,,-0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,
Flaxseed Oil,"Linseed oil, Flax oil, Linum usitatissimum seed oil, Flaxseed Oil",Linum Usitatissimum (Linseed) Seed Oil,Active,Low Risk,Single,0,Low Risk,Humectant,Contains omega-3 fatty acids that help reduce inflammation and support skin healing.,3,0.2,0.2,0,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0.2,"Flaxseed Oil is rich in omega-3 fatty acids and has anti-inflammatory properties, which can be beneficial for managing rosacea. It helps to soothe irritated skin and reduce redness, while maintaining the skin’s moisture barrier. It is generally well-tolerated but should be patch-tested on sensitive skin.",0.2,,0,,0.2,,0,,0.2,,0.2,,0.2,,0.2,,0.2,"Flaxseed oil is rich in fatty acids that help to nourish and hydrate the skin, reducing the appearance of dullness. It improves skin texture and promotes a healthy, glowing complexion.",0,,0.2,
Macadamia Nut Oil,"Macadamia integrifolia seed oil, Macadamia ternifolia seed oil, Macadamia oil, Macadamia Nut Oil",Macadamia Integrifolia Seed Oil,Active,Low Risk,Single,0,Low Risk,"Emollient, Texture Enhancer","Skin barrier protection, Moisturizing",2,1,0.2,-0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,0.2,,0,,0,,1,,-0.2,,0.2,,0.2,,-0.2,,0,,0.2,,0.2,,0,
Magnesium Ascorbyl Phosphate,"MAP, Ascorbic Acid Magnesium Salt, Magnesium L-Ascorbyl-2-phosphate, Magnesium Vitamin C, Magnesium Ascorbyl Phosphate Solution",Magnesium Ascorbyl Phosphate,Active,Low Risk,Single,0,Low Risk,"Active, Antioxidant",Antioxidant,0,1,0.2,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,0.2,,0.2,,0.2,,0.2,Magnesium Ascorbyl Phosphate is a stable form of Vitamin C that helps regulate sebum production and brighten the skin. It’s effective in reducing shine and preventing clogged pores.,1,"Magnesium Ascorbyl Phosphate is a stable form of Vitamin C that helps to stimulate collagen production and reduce the appearance of fine lines and wrinkles. It also brightens the skin and protects against environmental damage, making it an effective anti-aging ingredient.",1,"A stable form of Vitamin C that stimulates collagen production, improving elasticity and firmness, and provides antioxidant protection against environmental damage.",0.2,"A stable form of Vitamin C, Magnesium Ascorbyl Phosphate helps brighten the skin, smooth uneven texture, and minimize the appearance of pores. It also protects the skin from environmental stressors that can cause texture issues.",0.2,,1,,1,"A stable form of Vitamin C, Magnesium Ascorbyl Phosphate helps to brighten the under-eye area by reducing pigmentation and stimulating collagen production. It addresses dark circles by improving skin tone and texture.",0.2,
Magnesium Ascorbyl Phosphate (Vitamin C),"MAP, Vitamin C phosphate, Magnesium Ascorbyl Phosphate, Vitamin C Magnesium Salt",Magnesium Ascorbyl Phosphate,Active,Low Risk,Single,0,Low Risk,"Active, Antioxidant",Antioxidant,0,1,0.2,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,1,Magnesium Ascorbyl Phosphate is a stable form of Vitamin C that helps brighten the skin and reduce the appearance of hyperpigmentation by inhibiting melanin production. It’s gentle and effective for treating dark spots and promoting an even skin tone.,0.2,,0.2,,0.2,Magnesium Ascorbyl Phosphate is a stable form of Vitamin C that helps regulate sebum production and brighten the skin. It’s effective in reducing shine and preventing clogged pores.,1,"Magnesium Ascorbyl Phosphate is a stable form of Vitamin C that helps to stimulate collagen production and reduce the appearance of fine lines and wrinkles. It also brightens the skin and protects against environmental damage, making it an effective anti-aging ingredient.",1,"A stable form of Vitamin C that stimulates collagen production, improving elasticity and firmness, and provides antioxidant protection against environmental damage.",0.2,"A stable form of Vitamin C, Magnesium Ascorbyl Phosphate helps brighten the skin, smooth uneven texture, and minimize the appearance of pores. It also protects the skin from environmental stressors that can cause texture issues.",0.2,,1,,1,"A stable form of Vitamin C, Magnesium Ascorbyl Phosphate helps to brighten the under-eye area by reducing pigmentation and stimulating collagen production. It addresses dark circles by improving skin tone and texture.",0.2,
Oregon Grape,"Berberis aquifolium extract, Mahonia aquifolium extract, Holly-leaved barberry extract, Oregon Grape Root Extract",Mahonia Aquifolium Root Extract,Active,Low Risk,Single,0,Low Risk,"Active, Antioxidant",Antioxidant,0,1,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0.2,,0.2,,0.2,,0.2,,0.2,,0,,0,,0.2,,0.2,,0.2,,0.2,,0,
Mango Butter (Mangifera Indica Seed Butter),"Mangifera Indica Butter, Mango Seed Butter, Mangifera Indica Oil Butter, Mango Butter",Mangifera Indica (Mango) Seed Butter,Active,Low Risk,Single,0,Low Risk,"Emollient, Occlusive Agent","Skin barrier protection, Moisturizing, Soothing",2,0.2,0.2,-1,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,"Mango butter is a rich, nourishing ingredient that helps to soothe and moisturize the skin. It is generally well-tolerated and can provide relief for dry, irritated skin, which is often associated with rosacea.",0,,-0.2,,0.2,,-1,,0.2,,0.2,,0.2,,0,,0.2,,0.2,,0.2,
Organic Unrefined Raw Mango Butter,"Organic Mangifera Indica Butter, Organic Mango Seed Butter, Organic Mangifera Indica Oil Butter, Organic Mango Butter",Mangifera Indica (Mango) Seed Butter,Active,Low Risk,Single,0,Low Risk,"Emollient, Occlusive Agent","Skin barrier protection, Moisturizing, Soothing",2,0.2,0.2,-1,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,"Organic unrefined raw mango butter retains more natural nutrients, soothing and hydrating the skin, which can benefit the dryness associated with rosacea. However, it may not address redness or inflammation directly.",0,,-0.2,,0.2,,-1,,0.2,,0.2,,0.2,,0,,0.2,,0.2,,0.2,
Organic Arrowroot Powder,"Organic Maranta arundinacea powder, Organic Arrowroot, Organic Arrowroot Starch",Maranta Arundinacea Root Powder,Inactive,Low Risk,Single,0,Low Risk,"Thickener, Texture Enhancer",Natural thickener. Low risk of irritation,0,0,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-0.2,,0,,0,,0.2,,0.2,,0,,0,,0,,0,,0.2,,0.2,,0.2,
Arrowroot Powder,"Maranta arundinacea powder, Arrowroot, Arrowroot Starch",Maranta Arundinacea Root Powder,Inactive,Low Risk,Single,0,Low Risk,"Thickener, Texture Enhancer",Natural thickener. Low risk of irritation,0,0,0,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-0.2,,0,"Tea tree essential oil has antibacterial and anti-inflammatory properties that help treat acne, reducing the likelihood of post-inflammatory hyperpigmentation. While it’s not a direct skin-lightening agent, it helps prevent the formation of new dark spots.",0,,0,,0.2,,0,,0,,0,,0,,0.2,,0.2,,0.2,
Medicago Sativa Extract/Alfalfa Extract,"Alfalfa Extract, Medicago Extract, Lucerne Extract, Medicago Sativa Extract, Alfalfa Leaf Extract",Medicago Sativa (Alfalfa) Extract,Active,Low Risk,Single,0,Low Risk,"Emollient, Emulsifier","Soothing, Antioxidant",0,1,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,"Alfalfa extract is rich in vitamins and antioxidants, which can help protect the skin, but it is not specifically noted for treating rosacea. It is generally safe but may not be particularly effective for rosacea.",0,,0,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,
Manuka Honey,"Leptospermum Scoparium Honey, Manuka Extract, Manuka Honey Extract, Manuka Honey",Mel (Honey),Active,Moderate Risk,Single,0,Low Risk,"Active, Humectant",Has antimicrobial and anti-inflammatory properties that can help reduce acne-causing bacteria and soothe irritated skin.,0,0.2,0.2,0,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0.2,"Manuka honey is known for its antibacterial and anti-inflammatory properties, making it beneficial for soothing irritated skin and potentially reducing redness associated with rosacea.",0.2,,0,,0.2,,0,,0.2,,0.2,,0.2,"Manuka honey has antibacterial and anti-inflammatory properties that help smooth uneven texture and reduce the appearance of pores. It also hydrates the skin, contributing to a more refined complexion.",0.2,,0.2,"Manuka honey has natural antibacterial and exfoliating properties that help to brighten the skin and reduce dullness. It hydrates and nourishes the skin, leaving it looking more radiant and smooth.",0.2,,0.2,
Tea tree essential oil,"Melaleuca alternifolia oil, Tea tree oil, TTO, Tea Tree Leaf Oil, Melaleuca Oil",Melaleuca Alternifolia (Tea Tree) Leaf Oil,Active,Moderate Risk,Single,0,Moderate Risk,"Fragrance, Active","Antibacterial, Anti-inflammatory",1,0.2,-0.2,1,0.2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,-1,,0.2,"Tea tree essential oil has antibacterial and anti-inflammatory properties that help treat acne, reducing the likelihood of post-inflammatory hyperpigmentation. While it’s not a direct skin-lightening agent, it helps prevent the formation of new dark spots.",1,"Tea tree oil is well-known for its antibacterial and anti-inflammatory properties, making it highly effective in treating acne. It helps to reduce the size of pimples, prevent new breakouts, and calm redness and swelling.",-0.2,,1,"Tea tree oil is known for its strong antibacterial and anti-inflammatory properties, making it highly effective in treating and preventing acne. It helps regulate oil production and reduce shine, making it ideal for oily skin.",-1,,0,,1,"Tea tree oil has antibacterial properties that help clear pores and smooth uneven skin texture. It’s particularly effective for treating and preventing acne, which can contribute to rough texture and visible pores.",0.2,,0.2,,-1,,1,Tea tree oil is a well-known treatment for acne due to its antibacterial and anti-inflammatory properties. It helps kill acne-causing bacteria and reduce the size and redness of blemishes.
Organic tea tree essential oil,"Melaleuca alternifolia oil, Tea tree oil, TTO, Tea Tree Leaf Oil, Melaleuca Oil",Melaleuca Alternifolia (Tea Tree) Leaf Oil,Active,Moderate Risk,Single,0,Moderate Risk,"Fragrance, Active","Antibacterial, Anti-inflammatory",1,0.2,-0.2,1,0.2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,-1,,0.2,"Similar to regular tea tree oil but with added purity, it helps to treat acne and prevent the formation of post-inflammatory hyperpigmentation. It supports clearer skin, which reduces the likelihood of new dark spots.",1,Organic tea tree oil offers the same acne-fighting benefits as regular tea tree oil but with added purity. It’s effective in treating breakouts and preventing acne due to its antibacterial properties.,-0.2,,1,,-1,,0,,1,"Similar to regular tea tree oil, organic tea tree essential oil helps clear pores and smooth uneven skin texture, with added purity. It’s effective in treating acne-prone skin and refining the complexion.",0.2,,0.2,,-1,,1,"Similar to regular tea tree oil, organic tea tree essential oil helps treat and prevent blemishes with its antibacterial and anti-inflammatory properties. It offers added purity, making it a gentle option for sensitive skin."
Organic Neem Oil,"Organic Azadirachta Indica Seed Oil, Organic Neem Seed Oil, Organic Margosa Oil, Organic Neem Oil",Melia Azadirachta (Neem) Seed Oil,Active,Moderate Risk,Single,0,Moderate Risk,"Emollient, Antioxidant","Skin barrier protection, Antimicrobial, Anti-inflammatory",1,0.2,0.2,-0.2,0.2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-0.2,,0.2,,0.2,"Neem oil is rich in fatty acids and has strong antibacterial and anti-inflammatory properties. It helps to fight acne-causing bacteria, reduce inflammation, and soothe irritated skin, making it effective for treating acne.",1,,-0.2,,0.2,,0.2,,-0.2,,0,,0.2,,-1,,-0.2,
Neem Oil,"Azadirachta Indica Seed Oil, Neem Seed Oil, Margosa Oil, Neem Oil",Melia Azadirachta (Neem) Seed Oil,Active,Moderate Risk,Single,0,Moderate Risk,"Emollient, Antioxidant","Skin barrier protection, Antimicrobial, Anti-inflammatory",1,0.2,0.2,0,0.2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-0.2,,0.2,,0.2,"Similar to organic neem oil, neem oil helps combat acne by reducing inflammation and killing acne-causing bacteria. It also supports skin healing, helping to reduce the severity and duration of breakouts.",1,,0,,0.2,,0.2,,-0.2,,0,,0.2,,-1,,-0.2,
Melissa Essential Oil,"Lemon balm oil, Melissa officinalis oil, Melissa Oil, Melissa Essential Oil, Lemon Balm Essential Oil",Melissa Officinalis Leaf Oil,Active,Moderate Risk,Single,0,Moderate Risk,"Fragrance, Active",Has anti-inflammatory and antimicrobial properties. Natural fragrance. Low risk of irritation,0,0.2,0.2,-0.2,0.2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,-1,,0.2,,0,,0.2,,-0.2,,0.2,,0,,0,,0.2,,0,,-1,,0.2,
Mentha Piperita (Peppermint) Extract,"Peppermint Extract, Mentha Extract, Peppermint Leaf Extract, Mentha Piperita Extract",Mentha Piperita (Peppermint) Leaf Extract,Active,Moderate Risk,Single,0,High Risk,"Fragrance, Active","Anti-inflammatory, Soothing",1,0.2,-0.2,-0.2,0.2,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,-1,,-1,"Similar to regular tea tree oil but with added purity, it helps to treat acne and prevent the formation of post-inflammatory hyperpigmentation. It supports clearer skin, which reduces the likelihood of new dark spots.",0.2,,-0.2,,-0.2,,-0.2,,0,,0.2,,-1,,0.2,,-1,,0,
Mint Leaf,"Mentha Leaf, Mint Extract, Peppermint Leaf, Peppermint Leaf Extract, Mentha Piperita Leaf Extract",Mentha Piperita (Peppermint) Leaf Extract,Active,Moderate Risk,Single,0,High Risk,"Fragrance, Active","Anti-inflammatory, Soothing",1,0.2,-0.2,-0.2,0.2,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,-1,,-1,"Panthenol is a hydrating and soothing ingredient that supports skin healing. It helps maintain skin hydration and barrier function, which can improve the skin’s response to hyperpigmentation treatments.",0.2,,-0.2,,-0.2,,-0.2,,0,,0.2,,-1,,-1,,-1,,0,
Menthoxypropanediol,"Menthyl ethylamido oxalate, Cooling Agent, 3-Menthoxypropanediol",Menthoxypropanediol,Inactive,Low Risk,Single,0,Moderate Risk,Active,"Soothing, cooling effects",0,0.2,-0.2,0,0.2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-1,,-0.2,,0,,-0.2,,0,,0,,0,,0,,0,,0.2,,-1,,0,
MSM,"Methyl sulfone, Dimethyl sulfone, Sulfonylbismethane, MSM, Organic Sulfur",Methylsulfonylmethane,Active,Low Risk,Single,0,Low Risk,Active,Anti-inflammatory. Often used as a supplementary treatment for acne due to its skin-soothing and healing properties.,0,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,0,,0.2,"MSM is known for its anti-inflammatory and detoxifying properties, which help to reduce redness and swelling associated with acne. It also helps to soften the skin and improve its texture, making it easier for acne to heal without scarring.",0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,
Microcrystalline Cellulose,"MCC, Cellulose Gel, Avicel, Microcrystalline Cellulose Powder, Microcrystalline Cellulose Crystals",Microcrystalline Cellulose,Inactive,Low Risk,Single,0,Low Risk,"Thickener, Texture Enhancer",Natural thickener. Low risk of irritation,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.2,"Microcrystalline cellulose is often used as a gentle exfoliant in skincare products. It helps to slough off dead skin cells, reducing dullness and revealing a brighter, more even complexion.",0,,0,
Mulberry Extract,"Morus Alba Extract, White Mulberry Extract, Morus Alba Root Extract, Mulberry Leaf Extract",Morus Alba Leaf Extract,Active,Low Risk,Single,0,Low Risk,"Active, Antioxidant",Antioxidant,0,0.2,0.2,0,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0.2,,1,"Mulberry extract helps treat hyperpigmentation through its active compounds, particularly mulberry anthocyanins and arbutin. Arbutin inhibits the enzyme tyrosinase, which reduces melanin production and lightens dark spots. Additionally, mulberry extract has antioxidant properties that protect the skin from oxidative stress and support a more even skin tone by reducing pigmentation and promoting skin clarity.",0.2,,0.2,,0,,0,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,
Naringenin,"Naringenin, Citrus Flavonoid, 4',0.5,7-Trihydroxyflavanone",Naringenin,Active,Low Risk,Single,0,Low Risk,"Antioxidant, Active",Antioxidant,0,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,
Nasturtium Officinale (Watercress) Flower/Leaf Extract,"Watercress Extract, Watercress Leaf Extract, Watercress Flower Extract, Nasturtium Officinale Extract",Nasturtium Officinale Flower/Leaf Extract,Active,Low Risk,Single,0,Low Risk,"Active, Antioxidant",Antioxidant,0,0.2,0.2,1,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0.2,,0.2,,0.2,,0.2,,1,Watercress extract has astringent properties that help reduce oiliness and tighten pores. It’s effective in balancing oily skin and reducing shine.,0,,0,,0.2,,0.2,,0.2,,0.2,,0,
Niacinamide,"Nicotinamide, Nicotinic acid amide, Vitamin B3, Niacinamide Vitamin B3",Niacinamide,Active,Low Risk,Single,0,Low Risk,Active,"Highly effective in treating acne. It reduces inflammation, minimizes pore size, controls oil production, and improves the skin's barrier function.",0,1,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,"Niacinamide (Vitamin B3) is highly beneficial for rosacea-prone skin due to its anti-inflammatory properties. It helps reduce redness, improve skin barrier function, and regulate oil production.",1,"Niacinamide helps to reduce hyperpigmentation by inhibiting the transfer of melanin to the skin’s surface. It brightens the skin and improves overall tone, making it an excellent ingredient for treating dark spots and uneven pigmentation.",1,"Niacinamide is a powerful anti-inflammatory that helps regulate sebum production, reduce redness, and improve the skin’s barrier function. It’s particularly effective in treating acne by minimizing pore size and preventing future breakouts.",1,"Niacinamide helps to improve the skin’s barrier function, reducing moisture loss and dehydration. It also helps to soothe and hydrate the skin, making it effective in treating dryness.",1,"Niacinamide helps regulate sebum production, reduce inflammation, and improve the skin’s barrier function. It’s highly effective in managing oily skin, reducing shine, and preventing acne.",1,"Niacinamide helps to improve skin elasticity, enhance the skin’s barrier function, and reduce the appearance of fine lines and wrinkles. It also evens out skin tone and reduces the visible signs of aging, making the skin look smoother and more youthful.",1,"Improves skin elasticity by enhancing the skin’s barrier function and stimulating collagen production, helping to firm the skin.",1,"Niacinamide helps improve skin texture by reducing the appearance of pores and smoothing uneven skin. It also strengthens the skin’s barrier and evens out skin tone, contributing to a more refined complexion.",0.2,"Niacinamide regulates sebum production, reduces pore size, and has anti-inflammatory properties, making it highly effective in preventing clogged pores and blackheads.",0.2,,1,"Niacinamide (Vitamin B3) improves skin elasticity and reduces pigmentation, making it effective in lightening dark circles. It also strengthens the skin barrier and can reduce puffiness, enhancing the appearance of the under-eye area.",1,"Niacinamide (Vitamin B3) helps regulate oil production, reduce inflammation, and minimize the appearance of pores, making it highly effective in treating and preventing blemishes. It also helps fade dark spots left by past breakouts."
Basil Leaf,"Ocimum basilicum, Basil oil, Basil Leaf Extract, Basil Leaf Oil, Ocimum Basilicum (Basil) Flower/Leaf Extract, Ocimum Sanctum Leaf Extract",Ocimum Basilicum (Basil) Leaf Extract,Active,Low Risk,Single,0,Low Risk,"Fragrance, Active",Generally non-irritating,0,0.2,-0.2,0,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,,0,,0,,-0.2,,0,,0,,0,,0,,0,,0,,0,,0,
Octyldodecyl Myristate,"Ethylhexyl myristate, Ester of myristic acid, Octyldodecyl Myristate Ester, Myristic Acid",Octyldodecyl Myristate,Inactive,Low Risk,Single,0,Low Risk,"Emollient, Texture Enhancer","Emollient, Skin barrier protection",3,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-0.2,,-0.2,,-0.2,,0.2,,0.2,,0.2,,0.2,,-1,,0,,0.2,,0,,0,
